"","Estimate","Std. Error","t value","Pr(>|t|)"
"1",-0.00986738356694809,0.00209980480433789,-4.69919087077215,2.64552828481386e-06
"2",-0.0112433022873739,0.00211702747780876,-5.31089105135818,1.11346641815987e-07
"3",-0.00424047851095717,0.00215311727183724,-1.96946007838152,0.048926841977751
"4",0.0102518027478726,0.00218184466317009,4.69868589681235,2.65206282472084e-06
"5",0.02198263128238,0.0022402669124004,9.81250544776651,1.24761918316793e-22
"6",0.0285496844583542,0.00235241266933149,12.1363419057199,1.14571380710667e-33
"7",0.027558711242671,0.00239141521231507,11.5240177033047,1.53125080195956e-30
"8",0.0147724715424423,0.00234389484951295,6.30253167948724,3.0471392294117e-10
"9",-0.00215432881168053,0.00182638472024084,-1.17955915191649,0.238202638925974
"10",-0.010965319276702,0.00145505871079033,-7.53599782289614,5.25043649380557e-14
"11",-0.0638863000431239,0.00351513126324445,-18.1746555843144,1.09205445121087e-72
"12",-0.030492726285684,0.00309123826537327,-9.86424327986959,7.49625340925618e-23
"13",0.000278926545958207,0.00326712331839444,0.0853737428237878,0.931965914144338
"14",-0.0205676237446075,0.0037803943092486,-5.44060276841745,5.43074737787402e-08
"15",-0.0255875368926554,0.00431405378509529,-5.93120488693448,3.1031851876303e-09
"16",-0.0349259776491133,0.00495928336840033,-7.04254527411265,2.00720258273519e-12
"17",-0.0375690475012004,0.00182308471958758,-20.6074062809869,1.65067625352068e-92
"18",-0.00777655403644414,0.00181398438382563,-4.28700164443735,1.827374619999e-05
"19",-0.0133631139851548,0.00212265940783356,-6.29545839329612,3.18883670552614e-10
"20",-0.0218278659029599,0.00211913047023558,-10.3003879230396,9.23380080257635e-25
"21",-0.0226484553856497,0.00210824205835697,-10.7428154636572,8.8575373744149e-27
"22",-0.0155389296172805,0.00193544117661777,-8.02862407031928,1.09240084393509e-15
"23",-0.0122746129177987,0.00201408590836661,-6.09438399167054,1.137639506304e-09
"24",-0.0107602979604694,0.00206064774577645,-5.22180366951437,1.8061905647706e-07
