"","Estimate","Std. Error","t value","Pr(>|t|)"
"1",-0.0625591384037915,0.0160326276899212,-3.90198909459608,9.60081693954194e-05
"2",-0.052787061815471,0.0159524173842794,-3.30903213875855,0.000939379908358359
"3",-0.0537407278892604,0.0162739949206039,-3.30224558576094,0.000962382951092014
"4",-0.0662591982818314,0.016901459877751,-3.92032396970955,8.8998659565255e-05
"5",-0.0627975935686788,0.0170500387940228,-3.68313493754006,0.000231553756184205
"6",-0.0549708142348618,0.0168520499097862,-3.26196602366692,0.00110999819964776
"7",-0.0327864234456926,0.0163746063774614,-2.00227246322214,0.0452814129041448
"8",-0.0071372829376577,0.0166636008182883,-0.428315765331137,0.668430132906097
"9",-0.0202269379586172,0.0172826670319194,-1.17035975531207,0.241883103678639
"10",-0.0287772242201966,0.0172788350047159,-1.6654609070775,0.0958510252095537
"11",-0.0546550825257898,0.013272940341185,-4.1177825802621,3.85499921986349e-05
"12",-0.0514524220329047,0.00979172373349846,-5.25468481681942,1.51220226126174e-07
"13",0.0305461093954351,0.0235171382509206,1.29888718046888,0.194011512962705
"14",-0.0863549910703378,0.0250465206168525,-3.44778392142156,0.000567448927661481
"15",-0.218777139996462,0.0331776329617075,-6.59411538637994,4.48609144357528e-11
"16",-0.293848597134003,0.0405092099739039,-7.25387133748846,4.33955449849869e-13
"17",-0.26526805096789,0.0420558495490215,-6.30751854527836,2.95096528620076e-10
"18",-0.169562203090363,0.0394404311559404,-4.29919750166889,1.72983747131236e-05
"19",0.0534946806298514,0.0129259501039,4.13854921300608,3.52269951071561e-05
"20",-0.0491754597059263,0.0143239657317979,-3.43308973413427,0.000599075239286333
"21",-0.136948351342875,0.0201696561304687,-6.78982083070807,1.18413887016439e-11
"22",-0.146797608403969,0.0205638119005455,-7.13863796819085,1.00570086564272e-12
"23",-0.100333226578162,0.0180355599796046,-5.56307797992541,2.71631687526917e-08
"24",-0.0753550001477848,0.0160121678157831,-4.706108567856,2.55755543768712e-06
