"","Estimate","Std. Error","t value","Pr(>|t|)"
"1",-0.449090555835035,0.00804011490157151,-55.856236052952,0
"2",-0.50602564442155,0.00806341921395875,-62.7557157819054,0
"3",-0.576498876275469,0.00827576968509368,-69.6610585132473,0
"4",-0.619710472871156,0.00924654093920684,-67.0207893898445,0
"5",-0.527082991046854,0.010018621091984,-52.6103329198247,0
"6",-0.524102942040893,0.00982237415870164,-53.3580714369948,0
"7",-0.494914391596355,0.00951767650857028,-51.999497056945,0
"8",-0.457044110222136,0.00925160896858769,-49.4015810410874,0
"9",-0.434873728511071,0.00905318799570905,-48.0354245065041,0
"10",-0.41255346814901,0.00885334677579002,-46.5985890530303,0
"11",-0.42648263440282,0.00878500881671223,-48.5466370382575,0
"12",-0.432196193365015,0.00869113002517548,-49.7284233595722,0
"13",-0.447926226599257,0.00863985507951421,-51.8441828568775,0
"14",-0.446666973106108,0.00861122105533297,-51.8703410626633,0
"15",-0.430489346219266,0.00874456010592805,-49.2293884431569,0
"16",-0.373396634905598,0.00881881970246094,-42.3408854590143,0
"17",-0.318281066023009,0.00880315072650677,-36.1553579975233,3.58165783058436e-286
"18",-0.250474110677892,0.00819296426827983,-30.5718543955618,3.137667997689e-205
"19",-0.182448361580891,0.00835333982277944,-21.8413671000618,9.58755631983844e-106
"20",-0.163171346518858,0.00863806131766448,-18.8898110951331,1.39960674391699e-79
"21",-0.239049637641517,0.00874800431625489,-27.3261910945028,2.18034958411224e-164
"22",-0.317845251113931,0.00854568804969862,-37.193640730326,1.02935944002738e-302
"23",-0.371641131228111,0.00825840059736591,-45.0015867898984,0
"24",-0.41695627893478,0.00811190824801539,-51.400517139329,0
