DUR,CENS,AGE,ED,WHITE,LOCRAT
448,0,21,12,0,5
70,0,20,11,1,4
198,1,29,16,1,2
728,0,20,10,1,4
21,0,21,12,1,4
49,0,20,12,1,3
210,0,29,16,0,3
77,0,21,12,0,3
49,0,22,12,0,2
175,0,29,15,1,5
56,0,22,12,1,6
168,1,24,12,0,2
266,0,22,12,1,3
14,0,31,14,0,4
9,1,21,7,1,3
91,0,22,16,1,5
1174,1,20,12,1,3
42,0,30,20,1,1
11,1,24,12,1,3
105,0,27,12,0,3
42,0,24,13,0,5
14,0,18,7,0,2
414,1,28,16,0,3
350,0,20,12,0,4
154,0,21,12,0,2
35,0,23,13,1,3
237,1,21,11,0,6
105,0,22,13,1,2
280,0,22,12,0,2
1416,1,18,12,0,3
112,0,19,9,1,4
1282,1,24,16,1,3
56,0,20,12,1,4
28,0,20,12,0,3
140,0,21,12,1,3
245,0,20,12,0,4
427,0,25,14,1,2
133,0,26,12,1,3
1290,1,23,16,1,2
35,0,19,8,1,5
21,0,18,9,1,2
231,0,19,10,1,5
70,0,21,12,0,5
224,1,22,12,1,3
91,0,20,12,0,3
797,1,26,16,1,2
266,0,25,16,1,4
119,0,21,11,0,4
21,0,19,10,0,2
49,0,19,12,0,3
35,0,20,11,1,5
91,0,21,12,0,3
589,1,22,11,1,5
1023,1,20,12,0,6
940,1,21,12,1,3
49,0,19,11,1,4
154,0,18,11,0,3
7,0,21,12,1,2
525,0,20,12,0,3
35,0,22,13,0,6
14,0,21,12,1,4
517,1,20,10,0,4
1318,1,19,12,0,4
595,0,24,14,1,3
759,1,22,12,1,2
35,0,20,12,1,4
84,0,21,12,1,3
42,0,23,13,1,2
105,0,20,10,0,4
177,1,30,12,0,3
196,0,21,10,0,2
91,0,19,12,1,2
56,0,20,12,1,6
613,1,21,12,0,4
84,1,21,12,0,3
28,0,20,12,0,5
497,0,19,9,1,4
448,0,21,12,0,4
1101,1,20,12,0,2
259,0,21,13,1,4
77,0,20,11,1,4
56,0,21,12,0,2
835,1,21,13,1,6
91,0,18,12,1,2
155,1,28,12,1,3
280,0,25,15,0,2
63,0,20,10,0,6
490,0,23,13,0,2
266,0,20,12,1,3
399,0,21,12,1,2
28,0,20,9,0,4
1084,1,22,12,1,6
701,1,20,12,1,3
441,0,26,16,0,2
77,0,23,15,1,5
703,1,19,10,1,4
77,0,26,12,0,2
26,1,24,12,1,2
35,0,22,12,1,3
168,1,31,14,1,3
183,1,24,12,0,3
217,0,24,14,1,6
238,0,18,10,0,3
91,0,28,12,0,2
84,0,20,11,0,3
1260,0,19,12,1,6
189,0,19,12,1,4
35,0,24,13,0,6
168,0,24,12,1,6
503,1,24,13,1,2
81,1,22,12,1,4
381,1,30,13,1,2
182,0,22,12,0,3
119,0,23,15,1,5
21,0,22,12,1,4
84,0,21,12,0,5
77,0,21,12,0,3
42,0,22,11,0,6
35,0,20,12,1,3
7,0,23,8,1,5
567,0,22,15,0,4
8,1,30,12,0,2
7,0,21,11,1,3
28,0,20,10,0,6
217,0,18,11,0,2
990,1,24,12,1,3
14,0,21,11,0,6
840,0,25,14,1,4
1342,1,19,12,0,3
78,1,25,11,1,2
466,1,20,12,0,3
535,1,20,12,1,6
406,0,28,14,1,3
28,0,28,12,0,4
3,1,32,16,0,3
455,0,25,12,0,2
758,1,21,12,0,6
381,1,21,12,1,4
434,0,20,11,0,3
196,0,24,12,1,5
28,0,21,12,1,5
91,0,19,11,0,2
42,0,29,14,1,4
70,0,19,12,1,3
35,0,18,8,0,2
640,1,20,12,1,6
525,0,20,12,1,4
1106,1,19,12,1,5
84,0,24,16,1,3
705,1,25,15,0,2
686,0,21,13,1,2
98,0,22,12,1,6
252,0,23,12,0,2
28,0,28,11,0,5
154,0,22,13,0,2
329,0,21,12,1,5
112,0,24,12,0,3
882,0,20,12,1,4
84,0,20,10,1,5
21,0,18,9,1,2
63,0,19,8,0,4
777,0,22,12,0,6
7,0,18,10,1,2
126,0,19,12,1,4
210,0,23,11,0,6
6,1,30,12,0,2
11,1,23,11,1,3
28,0,21,12,1,3
357,0,27,17,1,3
105,0,20,12,0,4
301,0,15,8,1,3
169,1,25,13,1,4
56,0,19,12,1,5
1197,0,18,12,0,4
112,0,18,9,0,4
63,0,20,11,0,4
21,0,18,8,1,4
775,1,21,12,0,6
266,0,21,12,1,3
42,0,21,12,1,5
28,1,21,11,1,3
210,0,27,12,1,3
918,1,26,16,0,4
665,0,18,11,0,3
154,0,21,11,1,3
105,0,21,12,1,6
7,0,25,14,0,2
147,0,20,12,1,4
28,0,20,12,0,3
301,0,20,12,1,2
567,0,18,10,0,2
336,0,19,12,1,6
539,0,19,12,1,5
182,0,20,12,1,4
1473,1,20,13,0,5
21,1,20,12,0,4
469,0,19,10,0,2
35,0,24,12,1,6
99,1,23,12,0,2
14,1,23,11,0,3
757,1,20,12,1,4
67,1,25,13,1,3
231,0,25,15,1,3
576,1,22,12,1,2
130,1,22,12,1,5
315,0,32,11,0,1
871,1,25,12,1,2
273,0,27,14,1,2
63,0,19,12,0,3
98,0,21,12,0,4
582,1,20,12,0,3
813,1,21,12,1,3
497,0,19,9,0,3
126,0,24,16,0,4
46,1,24,12,0,2
404,1,21,11,1,3
1099,0,25,14,1,2
63,0,20,12,0,4
21,0,17,9,1,3
223,1,28,11,0,3
407,1,26,16,1,2
280,0,21,12,1,3
29,1,21,9,1,3
63,0,20,10,0,6
989,1,24,16,1,2
175,0,18,11,1,3
42,0,21,14,0,3
126,0,22,11,0,3
168,0,28,16,0,4
147,0,19,12,1,4
42,0,21,13,0,4
665,0,24,16,1,4
156,1,24,12,1,6
364,0,24,13,1,2
56,0,23,16,0,3
238,0,19,12,1,6
497,0,19,11,0,2
1275,1,25,13,0,3
168,0,20,11,0,5
1545,1,19,12,0,3
322,0,21,12,0,4
553,0,18,7,0,2
264,1,28,12,0,2
1,1,22,12,0,5
98,0,20,9,1,3
308,0,21,12,1,6
601,1,20,12,1,4
42,0,17,9,0,2
35,0,21,13,0,3
280,0,19,11,1,5
588,0,21,13,0,3
789,1,21,12,0,4
1169,0,19,12,0,2
98,0,20,12,0,5
168,0,22,12,0,5
1220,1,18,12,1,3
397,1,25,14,0,6
119,0,22,13,0,3
49,0,18,12,0,3
98,0,21,12,1,3
1004,1,24,14,0,2
1278,1,20,11,0,3
77,0,22,12,1,4
126,0,21,12,1,4
1155,1,20,12,1,3
546,0,25,12,1,1
63,0,18,11,0,4
35,0,24,14,1,3
441,0,17,10,0,2
49,0,21,11,1,4
154,0,23,14,1,6
77,0,27,13,0,3
21,0,21,11,1,3
322,0,24,12,0,3
168,0,21,12,0,3
318,1,22,12,1,6
112,0,20,11,0,6
427,0,19,11,1,3
343,1,21,12,1,4
378,0,22,12,0,4
42,0,22,12,0,5
105,1,23,12,1,3
1236,1,28,18,1,4
469,1,24,10,1,3
84,0,30,15,1,2
245,0,21,12,1,3
189,0,19,12,1,3
77,0,24,16,1,3
161,0,28,14,1,4
28,0,18,12,0,4
98,0,20,12,1,3
56,0,27,18,1,3
56,0,25,15,1,4
679,0,24,16,1,2
63,0,21,11,0,6
42,0,25,17,1,5
836,1,18,10,0,3
796,1,20,12,0,5
308,0,25,16,1,5
308,0,19,10,0,5
63,0,20,8,0,3
1133,1,25,15,0,2
826,1,29,17,1,3
750,1,20,12,1,4
217,0,26,10,1,4
70,0,19,9,1,3
49,0,19,9,1,3
70,0,24,16,1,5
91,0,22,12,1,3
182,0,26,12,1,4
266,0,19,11,1,3
70,0,23,12,0,3
98,0,20,12,0,3
1400,0,27,16,0,5
579,1,22,12,1,3
420,0,20,12,1,4
12,1,27,13,1,4
21,0,22,11,0,4
14,0,21,12,1,4
42,0,21,12,1,4
584,1,23,12,0,2
869,1,20,11,1,2
462,0,20,12,1,4
532,0,25,14,0,3
168,0,19,12,1,3
362,1,21,12,1,3
70,0,28,13,1,2
574,0,21,13,0,4
21,0,20,10,0,2
490,0,19,12,1,2
245,0,21,12,1,4
133,0,21,12,1,4
119,0,21,12,1,4
176,1,23,12,1,5
98,0,26,12,1,3
49,0,20,10,0,2
385,0,25,16,1,4
155,1,23,13,1,2
127,1,23,10,1,6
404,1,25,16,0,2
7,0,24,14,1,2
168,0,21,12,1,4
235,1,28,17,0,2
235,1,24,12,1,5
273,0,23,16,0,2
140,0,21,12,1,4
175,0,26,16,0,3
367,1,25,16,0,3
105,0,19,12,0,3
245,0,20,12,1,2
336,0,19,12,1,6
99,1,20,10,0,5
252,0,21,11,1,4
42,0,20,11,1,5
77,0,18,8,0,3
385,0,21,8,1,4
147,0,25,12,0,5
802,1,20,12,0,3
619,1,21,12,1,2
561,1,26,16,0,3
98,0,20,12,0,4
1436,1,24,17,1,3
1506,1,24,14,1,3
371,0,24,13,1,4
84,0,21,13,1,3
35,0,26,12,0,3
42,0,27,17,0,2
28,0,20,12,1,3
63,0,23,16,1,3
301,0,22,12,1,5
504,1,29,13,1,3
203,0,18,10,1,3
210,0,18,11,1,3
407,1,21,12,1,3
908,1,20,11,0,3
210,0,23,12,0,4
347,1,26,12,1,3
98,0,25,12,0,5
119,0,23,16,1,2
35,0,26,14,1,5
679,0,25,15,0,2
105,0,22,12,0,3
98,0,23,13,1,4
196,0,23,16,1,2
105,0,21,13,0,3
42,0,18,9,1,2
105,0,20,11,0,4
1306,1,19,12,0,3
105,0,18,10,1,3
182,0,26,14,0,5
616,0,24,15,0,2
252,0,21,10,0,3
875,0,20,10,1,6
294,0,21,12,0,5
392,0,23,12,0,3
196,0,28,12,0,5
56,0,19,10,0,4
63,0,21,11,0,2
63,0,20,12,1,2
385,0,23,13,0,2
42,0,19,10,1,6
203,0,20,12,1,2
63,0,20,11,1,3
21,0,21,12,0,4
154,0,19,12,0,3
147,0,33,14,1,2
9,1,27,12,0,2
287,0,16,8,1,3
259,0,25,14,0,5
91,0,19,11,1,4
1311,1,21,13,0,3
84,0,21,13,0,3
1009,1,20,12,0,3
441,0,28,16,1,3
21,0,26,16,0,2
294,0,24,16,0,2
448,0,22,12,0,3
615,1,28,12,1,5
966,0,24,16,1,3
49,1,22,12,1,4
308,0,22,12,0,3
153,1,23,9,0,3
28,1,24,12,1,3
343,0,20,12,1,3
448,0,17,10,0,2
1290,1,23,16,1,6
388,1,20,12,1,6
42,0,18,11,1,4
329,0,22,15,0,2
63,0,22,11,0,5
28,0,21,10,1,2
133,0,20,12,1,3
308,0,22,14,1,2
273,0,33,12,1,5
217,0,20,11,0,6
294,0,20,12,0,4
644,0,19,11,1,3
196,0,21,11,1,5
70,0,32,16,0,2
14,0,24,13,0,3
112,0,22,12,1,3
1176,1,18,11,1,2
567,1,21,10,0,3
726,1,23,12,1,4
168,0,24,15,1,5
311,1,25,16,1,2
595,0,19,12,1,4
366,1,24,12,0,6
252,0,22,12,1,3
399,0,18,12,0,2
140,0,25,17,1,5
77,0,21,12,1,4
35,0,27,12,1,3
98,0,22,11,0,3
147,0,24,12,1,4
56,0,32,12,1,3
77,0,22,14,1,6
245,0,19,12,1,3
189,0,22,15,1,3
77,0,17,9,1,2
894,1,26,16,1,1
210,0,26,12,0,3
21,0,28,14,1,4
273,0,22,12,1,4
140,0,27,15,1,5
161,0,18,9,1,2
77,0,27,16,1,3
1486,1,25,18,1,2
24,1,25,12,1,4
35,0,21,12,1,3
665,0,29,12,1,4
35,0,18,12,1,6
217,0,20,13,1,2
398,1,29,12,0,2
281,1,23,12,1,5
112,0,21,12,0,3
42,0,20,12,1,3
1170,1,20,12,1,4
358,1,21,11,1,5
182,0,20,12,1,6
98,0,23,16,1,2
1428,0,26,19,1,2
119,0,28,11,1,2
336,0,19,12,0,4
497,0,28,16,1,2
267,1,25,12,1,6
777,0,25,12,0,2
161,0,20,12,1,2
63,0,22,12,0,5
161,0,22,13,0,6
588,0,27,16,0,3
98,0,19,12,0,2
749,0,19,12,1,2
35,0,27,13,1,2
281,1,21,12,1,5
175,0,20,11,0,3
98,0,20,11,0,4
364,0,18,10,0,2
245,0,24,15,0,4
91,0,25,12,0,2
553,0,25,17,0,4
56,0,20,10,0,5
21,0,23,12,1,6
91,0,18,8,0,3
21,0,21,12,1,6
84,0,18,12,0,3
32,1,23,10,0,4
21,0,22,12,1,3
875,1,21,12,1,3
928,1,19,11,1,4
42,0,19,8,0,3
49,0,20,12,0,4
154,0,27,12,0,3
315,0,20,12,1,2
41,1,27,16,1,2
588,1,27,17,0,4
84,0,30,16,1,2
161,0,20,9,1,3
889,1,19,9,1,2
539,0,21,12,1,4
350,0,23,13,1,3
28,0,19,11,1,3
35,0,20,12,1,3
14,0,23,16,1,3
210,0,21,12,0,3
14,0,21,12,1,2
133,0,24,12,1,3
903,1,26,16,1,5
168,0,23,12,1,2
161,0,18,8,1,2
384,1,23,12,0,4
63,0,16,8,0,3
301,0,21,12,1,3
126,0,22,12,1,4
365,1,21,11,1,3
63,0,19,11,1,2
121,1,28,17,1,4
1393,0,28,17,1,3
603,1,21,12,0,3
994,0,21,12,0,3
14,0,18,11,1,3
224,0,28,13,0,2
436,1,24,12,0,2
175,0,21,12,0,3
224,0,19,12,1,3
14,0,19,10,0,3
126,0,20,12,1,2
217,0,24,12,0,2
21,0,26,13,0,3
112,0,20,12,0,2
188,1,27,12,0,3
1309,1,24,12,0,2
1203,1,24,13,0,3
935,1,21,12,0,5
259,0,22,9,1,6
287,0,23,11,0,3
168,0,20,11,1,4
672,0,20,12,0,4
35,0,20,12,1,3
301,0,19,12,0,3
203,0,21,12,1,5
84,0,20,12,0,4
14,0,23,16,1,2
588,1,21,12,1,2
112,0,18,11,0,2
98,0,19,9,1,4
154,0,20,12,0,4
166,1,22,12,0,2
1431,1,18,11,0,2
609,0,26,16,1,2
413,0,26,13,1,6
343,1,21,12,1,4
196,0,26,9,0,2
203,0,25,12,0,2
1205,1,23,16,1,3
203,0,17,9,1,2
406,0,21,10,1,5
176,1,22,12,0,3
20,1,25,12,1,3
18,1,23,10,0,4
7,0,22,12,0,2
105,0,26,16,1,2
14,0,20,12,1,4
263,1,22,12,0,6
49,0,20,12,0,6
63,0,20,9,1,4
70,0,29,11,1,2
35,0,26,13,0,4
21,0,27,12,0,4
84,0,22,12,0,5
301,0,22,12,0,3
336,0,27,13,1,3
28,0,22,13,1,5
252,0,26,13,0,2
168,0,23,12,1,2
21,0,30,14,1,3
154,0,22,12,1,5
735,0,29,10,1,2
84,0,17,8,0,3
483,1,23,11,1,4
91,0,18,11,1,3
35,0,22,12,1,6
196,0,18,9,1,4
378,0,20,10,0,2
28,0,18,8,0,3
1106,1,20,12,1,4
1036,0,25,13,0,3
224,0,22,12,1,4
87,1,29,13,0,3
15,1,23,12,1,4
168,0,25,13,1,2
1413,1,24,15,1,2
56,0,20,11,1,3
84,0,19,12,1,2
28,0,21,11,0,4
290,1,22,12,1,2
42,0,23,15,0,4
63,0,22,12,1,3
182,0,25,12,0,3
238,0,23,13,1,5
112,0,20,12,0,5
21,0,23,12,0,4
161,0,19,11,1,2
182,0,22,13,0,4
35,0,28,11,0,3
364,0,23,13,0,5
7,0,21,12,1,4
455,0,24,16,1,3
42,0,20,11,0,4
917,0,20,12,1,3
273,0,17,9,0,2
630,0,27,12,0,4
245,0,21,12,0,2
14,0,24,12,0,3
21,0,20,13,0,3
575,1,19,9,1,3
342,1,26,12,1,4
484,1,21,12,0,3
133,0,24,15,1,2
294,0,23,12,0,2
84,0,20,12,1,6
700,0,22,12,0,3
224,0,31,12,0,1
371,0,21,12,1,3
63,0,22,14,1,3
84,0,32,14,1,3
31,1,25,14,0,2
667,1,24,13,0,3
164,1,29,12,1,4
308,0,20,12,1,4
196,0,17,5,1,3
21,0,19,12,1,3
140,0,19,13,1,2
371,0,20,12,1,3
119,0,25,13,0,2
77,0,20,12,1,4
637,0,28,16,1,2
35,0,21,10,1,5
112,0,20,11,0,3
28,0,21,12,1,4
119,1,22,12,0,3
84,0,21,12,1,3
60,1,20,10,1,4
49,0,22,12,0,5
49,0,23,11,1,5
84,0,21,11,1,3
553,0,21,12,0,3
681,1,22,12,1,6
42,0,22,12,0,3
98,0,22,16,0,4
98,0,27,14,1,4
101,1,25,14,0,4
962,1,24,16,1,3
203,0,27,19,1,6
84,0,24,9,0,2
504,0,27,12,1,2
21,1,24,11,0,2
1197,0,19,11,1,4
504,0,21,12,0,5
28,0,21,9,0,4
161,0,24,14,0,6
49,0,21,9,0,4
140,0,25,12,0,4
1269,1,21,11,0,3
77,0,18,12,0,2
82,1,22,12,0,5
259,0,20,12,0,3
119,0,25,12,0,4
161,0,20,12,0,6
203,0,22,12,0,3
63,0,18,10,0,5
651,0,22,11,0,4
12,1,20,12,1,6
8,1,22,12,0,4
294,0,21,12,0,6
616,1,27,14,0,3
424,1,25,12,1,2
609,0,20,12,0,3
112,0,18,10,1,2
1196,1,20,12,0,4
280,0,21,12,1,3
49,0,23,13,0,4
98,0,19,12,1,3
84,0,31,14,1,3
161,0,19,12,1,5
28,0,24,12,0,2
1414,1,22,14,0,2
224,0,22,12,0,5
221,1,30,11,1,2
49,0,21,12,1,3
945,0,26,17,0,2
126,0,22,14,0,6
182,0,17,8,0,2
1330,0,27,16,1,4
822,1,20,11,0,5
21,0,26,12,0,4
105,0,17,9,1,3
91,0,19,10,1,2
63,0,21,9,0,4
322,0,19,12,1,2
77,0,20,12,0,4
329,1,23,12,0,3
126,0,20,12,1,2
154,0,19,10,0,6
105,0,20,10,0,5
196,0,20,12,1,2
357,0,29,16,1,2
210,0,21,12,0,3
506,1,22,12,1,3
112,0,20,12,0,4
112,0,23,11,0,5
574,0,19,9,1,4
133,0,20,12,1,6
102,1,22,12,1,3
561,1,20,11,1,3
434,0,21,12,1,3
1109,1,22,13,0,2
210,0,20,11,0,4
175,0,23,12,1,2
770,0,18,10,0,2
420,1,20,11,0,3
81,1,26,14,1,2
231,0,21,12,0,5
105,0,19,12,0,3
154,0,19,9,1,3
329,0,31,17,0,2
77,0,22,10,1,2
14,0,26,13,1,6
182,0,21,12,0,4
217,0,22,14,1,6
28,0,22,11,0,4
70,0,22,12,0,4
28,0,17,10,1,2
59,1,22,12,0,3
70,0,23,12,0,3
140,0,22,13,0,6
210,0,21,12,1,3
1031,1,23,14,0,4
151,1,19,8,1,4
168,0,24,12,0,3
105,0,20,12,0,5
139,1,26,13,0,3
140,0,20,12,1,6
783,1,20,12,1,2
287,0,20,12,0,3
35,0,22,13,1,2
273,0,27,12,1,5
364,0,21,14,0,4
470,1,19,9,1,3
119,0,17,9,1,2
677,1,22,12,0,3
595,0,24,13,0,4
97,1,23,12,1,2
1136,1,20,12,1,3
112,0,22,12,0,3
98,0,20,11,1,4
768,1,22,12,1,6
7,0,20,12,0,6
35,0,29,12,0,3
378,0,21,12,0,3
126,0,20,12,0,3
217,0,22,12,1,2
497,0,19,12,1,2
168,0,29,12,0,3
1132,1,18,9,1,3
374,1,23,11,0,5
140,0,21,12,0,5
511,0,25,14,0,5
371,0,19,10,1,4
1199,1,19,12,1,2
308,0,21,10,0,5
1,1,31,16,1,2
1129,1,29,20,1,2
203,0,22,11,1,3
91,0,29,14,1,2
147,0,22,8,0,2
861,0,25,13,0,4
28,0,22,12,0,2
210,0,28,16,1,2
182,0,20,12,1,3
812,0,29,13,1,2
14,0,17,9,1,2
490,1,22,12,0,2
203,0,29,12,0,3
101,1,25,16,0,2
56,0,19,9,1,4
98,0,21,12,1,5
133,0,18,9,0,5
15,1,23,12,1,4
538,1,30,10,1,3
161,0,23,12,0,3
168,0,21,12,1,3
1038,1,21,12,0,4
152,1,23,12,0,2
56,0,21,11,0,5
315,0,30,14,1,3
420,0,31,11,0,2
105,0,18,12,0,4
133,0,25,12,0,3
210,0,18,10,0,3
721,0,28,12,0,2
521,1,24,12,0,2
231,0,23,14,1,3
119,0,20,12,0,5
1175,1,19,12,1,3
147,0,21,12,1,2
7,0,26,12,1,3
161,1,22,12,1,4
49,0,24,15,0,4
291,1,23,12,0,4
168,0,22,12,1,6
70,0,24,12,1,3
7,0,23,16,1,6
77,0,19,10,0,2
28,0,21,12,1,5
468,1,21,12,0,2
315,0,23,13,1,4
420,0,25,13,0,2
481,1,23,9,0,4
112,0,22,11,0,3
1139,1,23,16,0,4
161,0,18,12,0,2
581,0,19,12,1,3
56,0,19,12,0,3
581,0,18,12,1,2
7,0,26,15,0,2
161,0,23,13,1,3
217,0,19,12,1,3
287,0,23,12,0,2
14,0,23,11,0,2
189,1,27,16,0,2
35,0,22,12,1,2
222,1,22,11,1,2
210,0,21,12,0,2
21,0,25,15,1,4
126,0,19,12,0,2
119,0,22,11,0,5
154,0,18,9,0,2
469,0,22,12,1,3
343,0,19,9,0,6
399,0,19,8,1,5
7,0,19,12,1,3
609,0,20,12,0,4
532,1,25,12,1,2
299,1,22,12,1,3
1211,1,19,12,0,2
77,0,21,12,0,4
70,1,26,12,0,3
189,0,17,12,1,2
418,1,21,12,0,3
126,0,21,12,1,4
84,0,20,12,0,6
7,0,19,12,1,3
105,0,20,12,0,2
399,0,24,16,1,2
7,0,20,8,1,6
182,1,23,13,1,3
42,0,19,12,1,2
55,1,24,12,0,3
98,0,21,12,1,5
392,0,24,12,1,3
772,1,28,18,1,1
1092,1,24,16,1,2
868,0,27,12,0,3
140,0,17,9,1,3
69,1,20,10,1,6
756,0,27,16,1,3
161,0,21,12,1,2
182,0,27,16,1,4
14,0,23,12,1,4
112,0,22,13,0,3
1255,1,21,12,0,5
140,0,28,10,1,4
56,0,20,12,1,2
21,0,18,7,0,2
420,0,24,14,0,4
63,0,31,15,1,2
448,0,24,12,1,6
143,1,19,12,0,4
365,1,21,12,1,4
443,1,23,13,0,6
8,1,31,20,1,3
428,1,22,11,0,5
734,1,20,12,0,4
147,0,27,12,1,3
718,1,27,19,1,2
343,0,21,13,1,3
100,1,23,12,0,5
84,0,22,12,1,3
14,0,23,12,0,3
626,1,23,12,1,2
70,0,20,10,1,4
399,0,19,11,1,3
106,1,24,13,0,4
63,0,21,10,0,6
644,0,20,11,0,5
272,1,25,12,0,3
1015,1,21,12,1,4
266,0,20,13,1,3
112,0,20,13,0,4
84,0,21,12,1,2
473,1,24,14,0,3
8,1,24,11,1,2
7,0,19,12,1,3
188,1,22,12,0,3
70,0,20,10,1,3
56,0,20,10,1,3
239,1,22,12,0,6
703,1,26,14,0,3
98,0,29,12,1,3
210,0,19,12,0,2
126,0,22,12,0,4
1316,1,23,16,1,3
77,0,22,12,0,4
49,0,24,16,1,4
385,0,20,9,1,5
954,1,21,12,1,6
279,1,23,12,0,2
708,1,25,16,1,2
1268,1,26,13,1,2
189,0,21,13,1,4
194,1,23,9,1,5
1094,1,19,12,1,4
518,0,22,12,1,4
119,0,21,11,1,3
336,0,20,12,1,6
1008,0,19,12,1,2
133,0,21,12,1,3
91,0,21,12,0,4
91,0,20,11,0,5
133,0,20,12,1,6
252,0,30,12,1,3
21,0,33,12,0,2
112,0,20,12,1,3
754,1,18,8,0,3
255,1,22,12,0,3
14,0,26,13,1,3
70,0,17,9,0,3
215,1,22,12,1,6
133,0,19,12,0,3
70,0,30,17,1,2
63,0,18,8,1,3
98,0,32,20,1,2
308,0,20,11,1,5
1023,1,24,16,1,4
350,0,20,12,1,4
42,0,24,16,0,3
140,0,26,19,1,2
386,1,22,11,0,3
105,0,20,11,0,4
105,0,19,12,0,5
140,1,22,12,1,5
700,0,21,12,0,4
504,1,23,12,1,3
28,0,22,12,1,6
5,1,21,11,1,3
161,0,18,12,0,2
77,0,23,12,1,2
168,0,19,10,0,4
63,0,30,20,1,1
112,0,28,12,0,2
1297,1,20,12,0,3
35,0,20,12,0,2
735,0,28,16,1,2
91,0,20,10,0,6
491,1,29,19,1,2
126,0,23,12,0,3
91,0,26,10,1,3
1019,1,20,12,1,2
343,0,22,12,0,2
56,0,26,16,1,3
161,0,18,8,0,4
301,0,28,13,1,3
154,0,19,12,1,2
188,1,25,12,1,3
14,0,20,11,1,6
56,0,19,12,1,3
403,1,23,12,0,4
518,0,24,16,1,2
448,0,23,12,0,3
49,0,17,12,1,4
1092,0,23,14,0,2
63,0,19,12,1,3
147,0,24,12,0,4
21,0,27,16,1,2
21,0,20,12,0,2
1020,1,24,12,0,3
28,0,17,7,0,2
196,0,19,9,0,4
154,0,20,11,1,3
238,0,19,12,0,4
702,1,25,17,0,2
548,1,20,10,0,3
774,1,30,14,0,3
49,0,19,10,0,4
490,0,24,12,1,3
12,1,28,12,0,4
63,0,19,12,0,3
224,0,22,12,0,3
483,1,22,11,1,3
56,0,24,12,0,2
1435,0,30,19,1,3
101,1,24,12,0,5
1449,0,27,18,0,4
791,0,27,14,0,2
175,0,24,15,1,3
721,0,26,16,1,2
225,1,23,12,0,3
182,0,25,13,1,5
70,0,25,13,1,6
195,1,26,15,0,2
350,0,19,12,0,3
259,0,18,10,0,3
70,0,22,12,1,2
294,0,26,12,0,4
161,0,20,13,0,2
705,1,22,12,0,4
490,0,29,12,0,3
42,0,21,10,0,4
201,1,21,10,1,3
890,1,22,12,1,3
437,1,21,12,1,3
371,0,31,13,0,2
595,0,18,12,0,2
330,1,22,12,1,3
287,0,30,19,1,2
21,0,25,16,1,5
70,0,22,12,1,4
133,0,19,12,1,4
65,1,22,12,1,4
175,0,17,9,0,2
64,1,21,9,1,3
182,0,23,12,0,3
56,0,18,9,1,3
459,1,20,12,1,5
259,0,18,10,0,4
406,0,25,12,1,2
98,0,20,12,0,4
1229,1,22,12,0,5
295,1,25,16,1,2
70,0,19,12,1,3
644,0,20,12,1,3
217,0,19,12,1,3
399,0,22,12,0,3
42,0,19,11,1,3
35,0,19,10,1,4
70,0,19,9,0,5
35,0,19,12,0,6
126,0,27,15,0,4
623,0,23,13,0,3
35,0,24,15,0,5
714,0,28,16,0,4
231,0,20,10,0,4
126,0,18,9,1,3
161,0,26,13,0,3
350,0,18,10,1,3
126,0,21,12,0,4
14,0,20,10,1,6
252,0,25,12,1,3
1262,1,24,12,1,3
126,0,22,15,1,3
119,0,30,16,1,2
1419,1,25,16,0,3
497,0,21,12,1,3
1220,1,22,13,1,5
979,1,25,16,0,4
182,0,20,12,1,6
21,0,31,18,0,2
343,0,20,12,1,3
84,0,22,12,1,4
262,1,22,12,0,2
764,1,20,12,1,4
106,1,20,10,0,3
962,1,22,12,1,3
1128,1,22,13,0,2
91,0,19,8,1,5
36,1,23,12,1,3
680,1,23,15,0,3
202,1,24,11,0,3
749,0,25,16,1,1
322,0,21,12,0,4
511,0,20,11,1,2
93,1,21,9,1,5
161,0,20,8,1,4
724,1,26,16,1,2
419,1,22,12,0,4
462,0,26,16,1,3
63,0,26,16,1,2
98,0,20,11,0,3
1528,1,24,17,1,5
33,1,24,12,0,3
98,0,20,12,0,3
906,1,17,8,0,2
1182,1,17,9,0,2
126,0,20,12,1,3
35,1,22,10,0,3
56,0,22,11,1,3
14,0,18,8,1,4
1387,1,19,13,0,4
35,0,22,11,0,4
7,0,25,12,0,3
224,0,29,15,0,2
623,0,27,9,0,2
371,0,19,12,1,4
539,0,22,12,0,3
35,0,17,12,1,4
1187,1,20,12,0,4
79,1,21,10,1,6
7,0,18,10,1,3
397,1,21,10,1,3
168,0,21,10,1,3
182,0,25,18,1,2
322,0,22,12,0,4
730,1,26,16,0,2
872,1,19,11,0,3
28,0,20,12,0,4
266,0,22,11,1,3
203,0,22,12,0,3
1281,1,22,12,1,3
63,0,23,16,1,2
63,0,20,12,0,6
1288,1,21,13,0,5
35,0,22,12,1,3
7,1,25,13,0,3
469,0,20,12,0,3
294,0,20,12,1,5
378,0,20,12,0,4
393,1,30,12,0,4
28,0,20,12,1,4
43,1,25,12,0,2
84,0,22,12,0,5
1282,1,23,13,1,2
749,0,18,12,0,2
35,0,21,10,0,4
98,0,24,13,1,3
266,0,26,13,0,2
434,0,21,9,1,6
