DUR,CENS,AGE,ED,WHITE,LOCRAT
329,0,23,14,0,3
203,0,19,12,0,2
140,0,19,8,1,3
210,0,21,12,0,2
826,1,24,16,0,2
37,1,23,12,0,2
82,1,25,14,0,3
91,0,20,10,0,3
429,1,25,11,0,2
609,0,27,14,1,3
602,0,20,10,0,3
42,0,19,12,1,4
49,0,18,10,0,5
107,1,25,14,1,4
49,0,27,13,1,2
623,1,20,12,1,5
320,1,21,12,1,3
945,0,19,12,1,2
700,0,18,10,1,2
49,0,21,12,1,3
175,0,21,12,1,5
126,0,23,12,0,2
21,0,19,11,1,3
923,1,20,9,0,2
1173,1,18,11,0,2
210,0,18,11,0,2
1494,1,23,16,1,5
91,0,21,12,0,5
238,0,17,10,0,3
168,0,23,12,0,3
70,0,23,16,0,2
861,0,25,16,1,2
262,1,23,13,0,2
679,0,20,11,0,3
30,1,26,14,0,2
385,0,19,9,0,2
49,0,21,12,0,3
947,1,22,12,0,4
175,0,26,12,0,2
974,1,22,12,0,5
65,1,23,12,0,2
415,1,23,12,0,4
598,1,23,12,0,2
196,0,28,14,0,2
455,0,19,11,1,4
119,0,25,15,1,5
196,0,21,9,0,2
896,0,28,14,1,2
119,0,22,12,0,3
28,0,20,12,1,3
280,0,24,15,0,6
133,0,19,12,1,4
399,0,22,12,0,3
350,0,20,11,1,3
77,0,20,12,0,2
968,1,21,12,0,2
63,0,30,20,0,3
362,1,22,12,1,4
19,1,21,10,0,6
6,1,23,12,1,6
432,1,20,10,0,4
231,0,23,16,0,2
42,0,19,11,1,5
140,0,19,12,1,5
63,0,30,12,0,3
384,1,27,16,0,4
210,0,21,12,0,2
784,0,29,14,1,4
91,0,18,11,1,2
1550,1,21,14,1,3
14,0,22,9,0,5
1414,1,21,12,1,3
140,0,25,12,0,3
182,0,31,9,0,2
84,0,20,10,1,2
1404,1,23,13,0,6
77,0,21,12,0,4
70,0,21,12,0,5
49,0,30,20,1,1
105,0,19,12,0,6
63,0,22,12,0,2
317,1,27,16,0,2
217,0,22,12,1,4
616,0,28,16,1,3
119,0,26,12,0,2
45,1,23,12,1,4
475,1,21,10,0,4
84,0,22,12,0,5
14,0,21,12,0,5
42,0,18,9,1,2
168,0,19,12,1,6
63,0,21,12,1,3
427,0,20,11,0,3
91,0,24,14,1,3
364,0,17,9,1,2
58,1,29,13,1,3
79,1,25,13,0,3
427,0,19,12,1,5
954,1,19,12,1,5
126,0,25,13,0,4
56,0,19,10,0,5
28,0,17,9,1,2
70,0,21,12,1,5
42,0,22,13,0,3
1029,1,25,16,0,3
28,0,24,12,1,3
84,0,24,13,0,5
82,1,23,8,1,3
91,0,20,12,1,4
483,0,20,12,1,5
903,0,25,14,1,3
5,1,22,11,0,3
189,0,19,9,1,4
105,0,22,14,1,6
28,0,16,8,1,2
721,0,20,12,1,4
91,0,19,12,1,3
350,0,20,10,1,4
180,1,21,11,1,3
434,0,31,11,0,3
357,0,26,16,0,3
14,0,20,10,1,2
336,0,24,13,0,3
404,1,25,12,1,3
412,1,25,12,0,6
4,1,21,10,0,4
378,0,32,14,0,2
455,0,20,12,0,3
77,0,29,14,0,4
357,0,25,13,1,2
56,0,19,12,0,3
133,0,23,12,0,4
504,0,22,15,1,4
42,0,20,12,0,3
21,0,20,11,1,2
49,0,34,12,1,2
105,0,18,12,0,3
560,0,20,10,1,4
519,1,27,12,0,2
98,0,25,12,0,2
105,0,17,9,1,2
490,0,21,13,0,3
416,1,26,14,0,5
7,0,22,12,0,3
217,1,28,16,1,2
112,0,19,12,0,3
294,0,21,12,1,2
266,0,21,12,1,2
1304,1,21,12,0,3
7,1,27,16,1,2
388,1,27,17,1,1
525,0,24,13,0,4
37,1,31,14,1,2
866,1,22,12,0,3
189,0,19,12,1,3
42,0,20,10,0,3
42,0,23,13,0,3
42,0,19,8,1,3
133,0,24,11,0,2
70,0,20,8,0,2
658,1,20,9,1,4
294,0,18,11,1,3
9,1,22,12,1,3
266,0,26,16,1,2
266,0,21,12,0,4
1157,1,25,16,1,4
49,0,20,13,0,2
175,0,30,12,1,2
348,1,22,12,0,3
791,0,30,13,1,3
512,1,25,16,1,2
196,0,23,12,1,2
21,0,23,10,0,3
286,1,29,12,1,2
91,0,20,12,0,4
213,1,21,12,0,3
1169,0,24,12,1,2
427,0,26,12,1,2
1190,0,25,14,1,4
43,1,20,10,1,5
42,0,20,12,1,3
147,0,28,14,0,3
14,0,20,10,0,5
703,1,32,18,0,2
63,0,23,13,0,4
859,1,21,12,0,2
72,1,23,12,1,5
42,0,23,12,1,4
77,0,28,13,1,2
261,1,21,11,0,6
203,0,28,14,0,2
35,1,25,14,0,5
14,0,20,10,1,2
66,1,19,12,0,3
813,1,22,12,1,3
273,0,22,11,1,4
259,0,20,13,0,3
1018,1,20,13,0,4
203,0,19,12,1,3
126,0,23,12,1,5
243,1,22,12,0,4
98,0,21,8,1,4
500,1,24,15,0,2
14,0,21,10,1,2
301,0,23,12,0,3
542,1,24,13,1,2
420,0,24,12,1,2
553,0,26,15,0,3
217,0,30,12,1,3
70,0,20,9,0,3
707,0,23,16,1,3
21,0,21,12,0,4
21,0,19,12,0,3
231,0,20,12,0,3
665,0,31,12,0,2
287,0,24,15,1,4
140,0,21,10,0,5
329,0,21,12,0,4
126,0,23,12,0,2
560,0,24,14,1,2
540,1,20,12,0,3
1131,1,21,14,1,3
159,1,23,12,0,4
588,1,22,12,1,6
77,0,18,11,0,6
322,0,19,11,1,3
28,0,25,9,1,3
77,0,21,12,1,3
558,1,27,12,0,2
971,1,24,16,0,4
868,1,21,12,0,4
124,1,23,12,0,4
42,0,22,12,0,5
