"","Estimate","Std. Error","t value","Pr(>|t|)"
"1",0.0076697257811034,0.00402330470756839,1.906324859431,0.0566356697975844
"2",0.0108129843793821,0.00417960080563233,2.58708543763575,0.00969263340761578
"3",0.00990091006367438,0.00419726235405667,2.35889711637994,0.0183477669570302
"4",0.0113897358052952,0.004160105447953,2.737847861741,0.00619481018149708
"5",0.00951405683777624,0.00406780476363119,2.33886761794422,0.0193611652151662
"6",0.00481072678728423,0.00415593073853142,1.1575570166947,0.247071504161117
"7",0.00860720253979383,0.00430214054302565,2.00067906980567,0.0454529924595842
"8",0.0112686593013378,0.00431526457858153,2.61134841123506,0.00903157525147167
"9",0.0201247649510293,0.00335543972874445,5.99765353513283,2.06867436722093e-09
"10",0.0195011688132005,0.00249837227827946,7.80554963034982,6.49514369215811e-15
"11",0.010054866873944,0.00580863037211873,1.7310219844952,0.0834775709107823
"12",-0.0173261389518924,0.00610614499169588,-2.8374922271671,0.00455576345859864
"13",-0.0495906576264978,0.00817369113022889,-6.06710687208327,1.34782198863253e-09
"14",-0.0689905192786151,0.010072749735011,-6.84922400472403,7.84577332160648e-12
"15",-0.0644321794574083,0.0105204646460638,-6.1244613831306,9.42886456447683e-10
"16",-0.0475171859666618,0.00999108050279759,-4.75596067445925,2.00165363054332e-06
"17",-0.00877932618421424,0.00324746949233751,-2.70343607689904,0.00687384399349529
"18",0.0127951829679035,0.00357056323386116,3.58351949814566,0.000340549522133458
"19",0.03250712710631,0.00505550706153208,6.43004286427773,1.33179247973724e-10
"20",0.0340155843638504,0.00516641294317171,6.58398481461065,4.80146846060685e-11
"21",0.021554893436086,0.00452824602131259,4.76009769227113,1.9611453759248e-06
"22",0.0142943321494361,0.00398437599875776,3.58759618918815,0.000335277146491088
"23",0.0102603446017094,0.00397120624427844,2.58368464657109,0.00978865727370411
"24",0.00755374070617784,0.00394723026106832,1.91368129208997,0.0556883754461573
